project	language code	Total number of edits	Total number of unique editors	Total number of pages	Average number of edits per month (last 3 months)	Average number of editors per month (last 3 months)	Total number of bytes added (last 30 days)	Total number of bytes removed (last 30 days)	prefix
Wikipedia	jax	641	24	114	43	5	8494	0	Wp/jax
Wikipedia	mkn	640	17	182	49	2	0	0	Wp/mkn
Wikipedia	tao	640	36	212	32	3	3099	0	Wp/tao
Wikipedia	bzj	635	17	183	26	3	0	-24	Wp/bzj
Wikinews	be	625	22	416	94	3	0	0	Wn/be
Wikivoyage	hy	613	59	162	53	5	0	-6	Wy/hy
Wikiquote	nan	603	39	102	22	7	0	0	Wq/nan
Wikipedia	gur	601	43	135	34	6	25416	-5278	Wp/gur
Wikipedia	mns	585	32	158	42	6	0	0	Wp/mns
Wikipedia	aeb	583	64	166	23	6	0	0	Wp/aeb
Wikibooks	rap	582	21	6	1	1	0	0	Wb/rap
Wikipedia	kjj	578	26	116	16	4	17	0	Wp/kjj
Wiktionary	blk	570	12	472	2	1	0	0	Wt/blk
Wiktionary	nap	569	33	248	127	6	0	0	Wt/nap
Wikipedia	tkl	568	63	142	73	4	973	-79	Wp/tkl
Wikipedia	srr	564	11	81	3	1	0	-108	Wp/srr
Wiktionary	rue	560	10	414	2	1	0	0	Wt/rue
Wikiquote	ht	552	15	341	171	3	0	0	Wq/ht
Wikipedia	enf	549	48	226	59	5	17	0	Wp/enf
Wikipedia	bal	547	55	199	25	6	1140	-21	Wp/bal
Wiktionary	lfn	532	9	124	88	2	0	0	Wt/lfn
Wikipedia	prg	529	51	141	20	7	0	-9	Wp/prg
Wikivoyage	la	523	25	107	62	3	0	0	Wy/la
Wikipedia	nci	506	25	67	105	5	0	0	Wp/nci
Wikipedia	tmr	504	21	111	51	3	10815	-107	Wp/tmr
Wikipedia	yrl	504	68	91	101	11	662	-36	Wp/yrl
Wikipedia	oaa	498	29	115	50	5	0	-3	Wp/oaa
Wiktionary	grc	497	11	298	88	2	0	0	Wt/grc
Wikivoyage	wuu	492	24	84	11	4	0	0	Wy/wuu
Wikipedia	ckv	491	25	133	41	5	0	0	Wp/ckv
Wikipedia	pse	489	71	60	25	5	19945	-3	Wp/pse
Wiktionary	odt	481	6	193	206	1	0	0	Wt/odt
Wiktionary	syl	480	7	397	7	1	0	-24	Wt/syl
Wikiquote	lb	479	70	77	107	9	0	0	Wq/lb
Wikipedia	uun	477	5	442	89	2	6	-8	Wp/uun
Wikipedia	mfe	477	51	118	53	7	0	0	Wp/mfe
Wikinews	tl	477	41	103	47	5	0	0	Wn/tl
